epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0607590123402828,0.3382503907252187,0.9520867535176168,0.2040907049228261,0.32217380347160746
1,0.0001,0.8357355951958773,0.41769129622781304,0.8701317280000099,0.3523082424996472,0.48321409545625
2,0.0001,0.7962660741593156,0.44851728006223346,0.8034498172861929,0.4807863271693726,0.6206756837010295
3,0.0001,0.7818259256986939,0.47923315689626755,0.7791102499755588,0.5128029817863666,0.6593834295369404
4,0.0001,0.7702431416481125,0.5017819608835685,0.7906823124897693,0.5010724374999799,0.6430467968396835
5,0.0001,0.7653294219350328,0.5259436802451223,0.76344352156758,0.5932276572804416,0.7242458041030977
6,0.0001,0.7597373707257972,0.541663743394429,0.7566557382505965,0.5633779962169528,0.7004405473625944
7,0.0001,0.755830738085265,0.5532746929632987,0.7568236562131926,0.5561027429849433,0.6959815330747652
8,0.0001,0.7565719752895589,0.5529253178593192,0.7538335435566405,0.5838587119661501,0.7169225692957008
9,0.0001,0.752600512410305,0.5650402382228197,0.752021857497043,0.6135969795262664,0.7434553713355586
10,0.0001,0.750338192496981,0.5745047911619023,0.756366360885193,0.6349161831252157,0.7603706172947083
11,0.0001,0.7496255529018081,0.5807677966342528,0.7460635982396948,0.6262665470586083,0.752929118998664
12,0.0001,0.745263504206526,0.5947369317555272,0.7543319912660517,0.6541129830913734,0.7744471518035854
13,0.0001,0.7447835019960696,0.6014108920611716,0.7413860462397412,0.6396868121766764,0.7633928851085614
14,0.0001,0.7457333209411222,0.5926290624327155,0.7562749771064777,0.6416126035011304,0.7659869495724079
15,0.0001,0.7431558277077821,0.5910712345342095,0.7496292833760191,0.6286886624654147,0.7543180252140897
16,0.0001,0.7398899562504827,0.6129215273134607,0.7486030485187172,0.6477001560849852,0.7678700450850774
17,0.0001,0.7394840296890054,0.6255331761844467,0.7486371393422134,0.6567335183885179,0.7754982927404063
18,0.0001,0.738157142029733,0.6192887459324093,0.741508901270898,0.6282210996788937,0.7548406991242165
19,0.0001,0.7357935012147134,0.6267145157487837,0.739786568792115,0.6394796888097007,0.7640732262956337
20,0.0001,0.7375790264685543,0.6233757051578499,0.7461783615990752,0.5287883067685458,0.6726902428605039
21,0.0001,0.7343623096845588,0.6288856092856594,0.7789921869758432,0.5869147488223382,0.7127333976883024
22,0.0001,0.7353890828636228,0.6252287217157115,0.7421111196052027,0.6441722071764839,0.764623274700273
23,0.0001,0.7326334776470855,0.6490385206773309,0.7380173509660871,0.6684769591201694,0.7855583733669005
24,0.0001,0.7297199716677472,0.6662729794836697,0.7422213484616074,0.6630006161864864,0.7797480477762567
25,0.0001,0.7325771701123033,0.6344566980881747,0.7491338865750922,0.6732448467163896,0.7888536998481721
26,0.0001,0.7289432463597278,0.6413628171440867,0.74429360358163,0.6525555139313723,0.7733535370384155
27,0.0001,0.7291035401273747,0.6563311520061252,0.7372842559984318,0.6408314689374959,0.7637151606885482
28,0.0001,0.7289530926821183,0.6517516000690433,0.7326119910669691,0.6820620231437117,0.797180918081498
29,0.0001,0.7288463218327688,0.6576628161923367,0.7427907135650402,0.6686955358890078,0.7855523851553872
30,0.0001,0.7256297459255676,0.6726358583889852,0.7291716361470502,0.6848846678659373,0.7989278611465469
31,0.0001,0.728657854454858,0.6603744401511145,0.7755303749904681,0.5645409383655883,0.6959390866083743
32,0.0001,0.7274344251776228,0.6495615710643712,0.736053360024178,0.6907396332760117,0.8013461192013412
33,0.0001,0.7252932096242296,0.6710669518034735,0.7353257881169404,0.6907503741751111,0.8034234177969948
34,0.0001,0.724649251039539,0.6787115738807132,0.7315472355325714,0.6722618477482225,0.7840078878649933
35,0.0001,0.7247137758044564,0.6761252587724219,0.7326821364822582,0.7058736839849176,0.8132508641315934
36,0.0001,0.721897637091425,0.6705603397729841,0.7278171437993911,0.7021886578586058,0.8117738283885926
37,0.0001,0.7214808978748565,0.7011067344408944,0.727763603358475,0.6993511551863663,0.8077817527044527
38,0.0001,0.7218996495464627,0.6831519491010275,0.7249140281410315,0.7031216497957448,0.8110973319946712
39,0.0001,0.7223980172100116,0.6823602040898908,0.72962488533583,0.6702384857124796,0.7869617003609088
40,0.0001,0.7220793221221895,0.6755857880443754,0.7295717337659298,0.7193474580585165,0.8221473961387006
41,0.0001,0.7202148477033693,0.6898001410959607,0.7355360423638924,0.7098791177075477,0.8155397136506927
42,0.0001,0.7224196935338634,0.6810933619096479,0.7269143378764922,0.7059861964942099,0.8149211321271339
43,0.0001,0.7201329481084736,0.6925711804190792,0.7360761720715588,0.6247153260899716,0.7501330301627939
44,0.0001,0.7194889722277924,0.6892410038678407,0.7340362372289178,0.7075253085268925,0.8177818364504338
45,0.0001,0.7192840802730346,0.6911138081390894,0.722771483523245,0.6963188252505559,0.8067659430772283
46,0.0001,0.7173879535070488,0.7064376867282262,0.7221116567689347,0.7253910526426015,0.8276601563224785
47,0.0001,0.7184619342490118,0.7043350294186386,0.7292291790474462,0.6800399635717446,0.7903749710382971
48,0.0001,0.718709168347473,0.6964471385786464,0.7312067198086027,0.7086291150430629,0.813518376528563
49,0.0001,0.7184495118883799,0.702300411787978,0.7335812727003607,0.687463919346665,0.7985606473729545
50,0.0001,0.717122596213404,0.6976936952586841,0.7211013331668068,0.7407935166968805,0.8413489836306886
51,0.0001,0.7162965826538145,0.7063788836498793,0.7219904676345165,0.7201453573441478,0.8227677924230845
52,0.0001,0.7169997257237531,0.7158730403270402,0.7228338885246646,0.712331624667687,0.8163123823110731
53,0.0001,0.7156848880861487,0.6950312735498366,0.7283984862514428,0.739236983127881,0.8395865988835219
54,0.0001,0.7135855262832982,0.7301158676488426,0.721672061138784,0.7032535138944879,0.8121952183474273
55,0.0001,0.715437985538524,0.7027688757284766,0.7333459145846865,0.7039764173776514,0.8100568581761338
56,0.0001,0.7138868565766179,0.7232601641304198,0.7232388276180238,0.6815915145087854,0.7954330432644836
57,0.0001,0.7143751781966005,0.712598053629221,0.7231642820756248,0.718494918602106,0.8232483889288998
58,0.0001,0.7158757981141003,0.7001454613981253,0.723775194194784,0.6984916676432773,0.8075981681132866
59,0.0001,0.7137736286967993,0.7228162588108284,0.7238705974195446,0.7424651093357243,0.8434906444468847
60,0.0001,0.712272974149305,0.7081285401165773,0.7225928139747251,0.7260046355723536,0.8286117185250519
61,0.0001,0.7142159906120933,0.7102263578552236,0.7214891194690578,0.702008561512655,0.8103256715460174
62,0.0001,0.7140929736196995,0.7164153066338983,0.722735432268099,0.7273762868785066,0.8281140626996643
63,0.0001,0.7119359471360032,0.7276690170767437,0.7258471162567915,0.7509525966212087,0.847674950177128
